death_date,death_weekday,death_week_ending,age_elderly,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2024-10-22,Tuesday,2024-10-27,80+,0,0,0.5714,0.2908
2024-10-21,Monday,2024-10-27,<60,0,0,0,0
2024-10-21,Monday,2024-10-27,60-69,0,0,0,0
2024-10-21,Monday,2024-10-27,70-79,0,0,0.1429,0.038
2024-10-21,Monday,2024-10-27,80+,0,0,0.5714,0.2908
2024-10-20,Sunday,2024-10-20,<60,0,0,0,0
2024-10-20,Sunday,2024-10-20,60-69,0,0,0,0
2024-10-20,Sunday,2024-10-20,70-79,1,0.2659,0.1429,0.038
2024-10-20,Sunday,2024-10-20,80+,1,0.5088,0.5714,0.2908
2024-10-19,Saturday,2024-10-20,<60,0,0,0,0
2024-10-19,Saturday,2024-10-20,60-69,0,0,0,0
2024-10-19,Saturday,2024-10-20,70-79,0,0,0,0
2024-10-19,Saturday,2024-10-20,80+,1,0.5088,0.4286,0.2181
2024-10-18,Friday,2024-10-20,<60,0,0,0,0
2024-10-18,Friday,2024-10-20,60-69,0,0,0,0
2024-10-18,Friday,2024-10-20,70-79,0,0,0,0
2024-10-18,Friday,2024-10-20,80+,1,0.5088,0.2857,0.1454
2024-10-17,Thursday,2024-10-20,<60,0,0,0,0
2024-10-17,Thursday,2024-10-20,60-69,0,0,0,0
2024-10-17,Thursday,2024-10-20,70-79,0,0,0,0
2024-10-17,Thursday,2024-10-20,80+,1,0.5088,0.1429,0.0727
2024-10-16,Wednesday,2024-10-20,<60,0,0,0,0
2024-10-16,Wednesday,2024-10-20,60-69,0,0,0,0
2024-10-16,Wednesday,2024-10-20,70-79,0,0,0,0
2024-10-16,Wednesday,2024-10-20,80+,0,0,0,0
2024-10-15,Tuesday,2024-10-20,<60,0,0,0,0
2024-10-15,Tuesday,2024-10-20,60-69,0,0,0,0
2024-10-15,Tuesday,2024-10-20,70-79,0,0,0,0
2024-10-15,Tuesday,2024-10-20,80+,0,0,0.1429,0.0727
2024-10-14,Monday,2024-10-20,<60,0,0,0,0
2024-10-14,Monday,2024-10-20,60-69,0,0,0,0
2024-10-14,Monday,2024-10-20,70-79,0,0,0,0
2024-10-14,Monday,2024-10-20,80+,0,0,0.1429,0.0727
2024-10-13,Sunday,2024-10-13,<60,0,0,0,0
2024-10-13,Sunday,2024-10-13,60-69,0,0,0,0
2024-10-13,Sunday,2024-10-13,70-79,0,0,0,0
2024-10-13,Sunday,2024-10-13,80+,0,0,0.1429,0.0727
2024-10-12,Saturday,2024-10-13,<60,0,0,0,0
2024-10-12,Saturday,2024-10-13,60-69,0,0,0,0
2024-10-12,Saturday,2024-10-13,70-79,0,0,0,0
2024-10-12,Saturday,2024-10-13,80+,0,0,0.4286,0.2181
2024-10-11,Friday,2024-10-13,<60,0,0,0,0
2024-10-11,Friday,2024-10-13,60-69,0,0,0,0
2024-10-11,Friday,2024-10-13,70-79,0,0,0,0
2024-10-11,Friday,2024-10-13,80+,0,0,0.5714,0.2908
2024-10-10,Thursday,2024-10-13,<60,0,0,0,0
2024-10-10,Thursday,2024-10-13,60-69,0,0,0,0
2024-10-10,Thursday,2024-10-13,70-79,0,0,0,0
2024-10-10,Thursday,2024-10-13,80+,0,0,0.5714,0.2908
2024-10-09,Wednesday,2024-10-13,<60,0,0,0,0
2024-10-09,Wednesday,2024-10-13,60-69,0,0,0,0
2024-10-09,Wednesday,2024-10-13,70-79,0,0,0,0
2024-10-09,Wednesday,2024-10-13,80+,1,0.5088,0.7143,0.3635
2024-10-08,Tuesday,2024-10-13,<60,0,0,0,0
2024-10-08,Tuesday,2024-10-13,60-69,0,0,0,0
2024-10-08,Tuesday,2024-10-13,70-79,0,0,0,0
2024-10-08,Tuesday,2024-10-13,80+,0,0,0.5714,0.2908
2024-10-07,Monday,2024-10-13,<60,0,0,0,0
2024-10-07,Monday,2024-10-13,60-69,0,0,0,0
2024-10-07,Monday,2024-10-13,70-79,0,0,0,0
2024-10-07,Monday,2024-10-13,80+,0,0,0.7143,0.3635
2024-10-06,Sunday,2024-10-06,<60,0,0,0,0
2024-10-06,Sunday,2024-10-06,60-69,0,0,0,0
2024-10-06,Sunday,2024-10-06,70-79,0,0,0,0
2024-10-06,Sunday,2024-10-06,80+,2,1.0177,0.7143,0.3635
2024-10-05,Saturday,2024-10-06,<60,0,0,0,0
2024-10-05,Saturday,2024-10-06,60-69,0,0,0,0
2024-10-05,Saturday,2024-10-06,70-79,0,0,0,0
