death_date,death_weekday,death_week_ending,age_elderly,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2023-11-02,Thursday,2023-11-05,60-69,0,0,0,0
2023-11-02,Thursday,2023-11-05,70-79,0,0,1.1429,0.3039
2023-11-02,Thursday,2023-11-05,80+,5,2.5442,2,1.0177
2023-11-01,Wednesday,2023-11-05,<60,1,0.0265,0.2857,0.0076
2023-11-01,Wednesday,2023-11-05,60-69,0,0,0.1429,0.0254
2023-11-01,Wednesday,2023-11-05,70-79,0,0,1.1429,0.3039
2023-11-01,Wednesday,2023-11-05,80+,3,1.5265,1.8571,0.945
2023-10-31,Tuesday,2023-11-05,<60,0,0,0.1429,0.0038
2023-10-31,Tuesday,2023-11-05,60-69,0,0,0.1429,0.0254
2023-10-31,Tuesday,2023-11-05,70-79,3,0.7976,1.2857,0.3418
2023-10-31,Tuesday,2023-11-05,80+,1,0.5088,1.5714,0.7996
2023-10-30,Monday,2023-11-05,<60,0,0,0.1429,0.0038
2023-10-30,Monday,2023-11-05,60-69,0,0,0.4286,0.0763
2023-10-30,Monday,2023-11-05,70-79,3,0.7976,0.8571,0.2279
2023-10-30,Monday,2023-11-05,80+,1,0.5088,1.8571,0.945
2023-10-29,Sunday,2023-10-29,<60,0,0,0.1429,0.0038
2023-10-29,Sunday,2023-10-29,60-69,0,0,0.4286,0.0763
2023-10-29,Sunday,2023-10-29,70-79,0,0,0.5714,0.1519
2023-10-29,Sunday,2023-10-29,80+,1,0.5088,1.7143,0.8723
2023-10-28,Saturday,2023-10-29,<60,0,0,0.2857,0.0076
2023-10-28,Saturday,2023-10-29,60-69,0,0,0.4286,0.0763
2023-10-28,Saturday,2023-10-29,70-79,2,0.5317,0.5714,0.1519
2023-10-28,Saturday,2023-10-29,80+,2,1.0177,1.7143,0.8723
2023-10-27,Friday,2023-10-29,<60,1,0.0265,0.2857,0.0076
2023-10-27,Friday,2023-10-29,60-69,0,0,0.4286,0.0763
2023-10-27,Friday,2023-10-29,70-79,0,0,0.4286,0.1139
2023-10-27,Friday,2023-10-29,80+,1,0.5088,1.7143,0.8723
2023-10-26,Thursday,2023-10-29,<60,0,0,0.1429,0.0038
2023-10-26,Thursday,2023-10-29,60-69,1,0.1781,0.4286,0.0763
2023-10-26,Thursday,2023-10-29,70-79,0,0,0.4286,0.1139
2023-10-26,Thursday,2023-10-29,80+,4,2.0354,2,1.0177
2023-10-25,Wednesday,2023-10-29,<60,0,0,0.1429,0.0038
2023-10-25,Wednesday,2023-10-29,60-69,0,0,0.2857,0.0509
2023-10-25,Wednesday,2023-10-29,70-79,1,0.2659,0.4286,0.1139
2023-10-25,Wednesday,2023-10-29,80+,1,0.5088,1.7143,0.8723
2023-10-24,Tuesday,2023-10-29,<60,0,0,0.1429,0.0038
2023-10-24,Tuesday,2023-10-29,60-69,2,0.3562,0.2857,0.0509
2023-10-24,Tuesday,2023-10-29,70-79,0,0,0.5714,0.1519
2023-10-24,Tuesday,2023-10-29,80+,3,1.5265,2.1429,1.0904
2023-10-23,Monday,2023-10-29,<60,0,0,0.2857,0.0076
2023-10-23,Monday,2023-10-29,60-69,0,0,0,0
2023-10-23,Monday,2023-10-29,70-79,1,0.2659,0.8571,0.2279
2023-10-23,Monday,2023-10-29,80+,0,0,2.1429,1.0904
2023-10-22,Sunday,2023-10-22,<60,1,0.0265,0.2857,0.0076
2023-10-22,Sunday,2023-10-22,60-69,0,0,0,0
2023-10-22,Sunday,2023-10-22,70-79,0,0,0.7143,0.1899
2023-10-22,Sunday,2023-10-22,80+,1,0.5088,2.4286,1.2358
2023-10-21,Saturday,2023-10-22,<60,0,0,0.1429,0.0038
2023-10-21,Saturday,2023-10-22,60-69,0,0,0,0
2023-10-21,Saturday,2023-10-22,70-79,1,0.2659,0.8571,0.2279
2023-10-21,Saturday,2023-10-22,80+,2,1.0177,2.5714,1.3085
2023-10-20,Friday,2023-10-22,<60,0,0,0.2857,0.0076
2023-10-20,Friday,2023-10-22,60-69,0,0,0,0
2023-10-20,Friday,2023-10-22,70-79,0,0,0.7143,0.1899
2023-10-20,Friday,2023-10-22,80+,3,1.5265,2.4286,1.2358
2023-10-19,Thursday,2023-10-22,<60,0,0,0.2857,0.0076
2023-10-19,Thursday,2023-10-22,60-69,0,0,0,0
2023-10-19,Thursday,2023-10-22,70-79,0,0,0.7143,0.1899
2023-10-19,Thursday,2023-10-22,80+,2,1.0177,2,1.0177
2023-10-18,Wednesday,2023-10-22,<60,0,0,0.2857,0.0076
2023-10-18,Wednesday,2023-10-22,60-69,0,0,0,0
2023-10-18,Wednesday,2023-10-22,70-79,2,0.5317,0.7143,0.1899
2023-10-18,Wednesday,2023-10-22,80+,4,2.0354,1.8571,0.945
2023-10-17,Tuesday,2023-10-22,<60,1,0.0265,0.2857,0.0076
2023-10-17,Tuesday,2023-10-22,60-69,0,0,0,0
2023-10-17,Tuesday,2023-10-22,70-79,2,0.5317,0.5714,0.1519
2023-10-17,Tuesday,2023-10-22,80+,3,1.5265,1.8571,0.945
2023-10-16,Monday,2023-10-22,<60,0,0,0.1429,0.0038
2023-10-16,Monday,2023-10-22,60-69,0,0,0,0
2023-10-16,Monday,2023-10-22,70-79,0,0,0.2857,0.076
2023-10-16,Monday,2023-10-22,80+,2,1.0177,1.4286,0.7269
2023-10-15,Sunday,2023-10-15,<60,0,0,0.1429,0.0038
2023-10-15,Sunday,2023-10-15,60-69,0,0,0,0
2023-10-15,Sunday,2023-10-15,70-79,1,0.2659,0.4286,0.1139
2023-10-15,Sunday,2023-10-15,80+,2,1.0177,1.5714,0.7996
2023-10-14,Saturday,2023-10-15,<60,1,0.0265,0.1429,0.0038
2023-10-14,Saturday,2023-10-15,60-69,0,0,0,0
2023-10-14,Saturday,2023-10-15,70-79,0,0,0.2857,0.076
2023-10-14,Saturday,2023-10-15,80+,1,0.5088,1.2857,0.6542
2023-10-13,Friday,2023-10-15,<60,0,0,0,0
2023-10-13,Friday,2023-10-15,60-69,0,0,0,0
2023-10-13,Friday,2023-10-15,70-79,0,0,0.4286,0.1139
2023-10-13,Friday,2023-10-15,80+,0,0,1.2857,0.6542
2023-10-12,Thursday,2023-10-15,<60,0,0,0,0
2023-10-12,Thursday,2023-10-15,60-69,0,0,0,0
2023-10-12,Thursday,2023-10-15,70-79,0,0,0.4286,0.1139
2023-10-12,Thursday,2023-10-15,80+,1,0.5088,1.4286,0.7269
2023-10-11,Wednesday,2023-10-15,<60,0,0,0,0
2023-10-11,Wednesday,2023-10-15,60-69,0,0,0,0
2023-10-11,Wednesday,2023-10-15,70-79,1,0.2659,0.4286,0.1139
2023-10-11,Wednesday,2023-10-15,80+,4,2.0354,1.4286,0.7269
2023-10-10,Tuesday,2023-10-15,<60,0,0,0,0
2023-10-10,Tuesday,2023-10-15,60-69,0,0,0,0
2023-10-10,Tuesday,2023-10-15,70-79,0,0,0.4286,0.1139
2023-10-10,Tuesday,2023-10-15,80+,0,0,1,0.5088
2023-10-09,Monday,2023-10-15,<60,0,0,0,0
2023-10-09,Monday,2023-10-15,60-69,0,0,0,0
2023-10-09,Monday,2023-10-15,70-79,1,0.2659,0.5714,0.1519
2023-10-09,Monday,2023-10-15,80+,3,1.5265,1.1429,0.5815
2023-10-08,Sunday,2023-10-08,<60,0,0,0,0
2023-10-08,Sunday,2023-10-08,60-69,0,0,0,0
2023-10-08,Sunday,2023-10-08,70-79,0,0,0.4286,0.1139
2023-10-08,Sunday,2023-10-08,80+,0,0,1,0.5088
2023-10-07,Saturday,2023-10-08,<60,0,0,0,0
2023-10-07,Saturday,2023-10-08,60-69,0,0,0,0
2023-10-07,Saturday,2023-10-08,70-79,1,0.2659,0.4286,0.1139
2023-10-07,Saturday,2023-10-08,80+,1,0.5088,1.1429,0.5815
2023-10-06,Friday,2023-10-08,<60,0,0,0,0
2023-10-06,Friday,2023-10-08,60-69,0,0,0,0
2023-10-06,Friday,2023-10-08,70-79,0,0,0.2857,0.076
2023-10-06,Friday,2023-10-08,80+,1,0.5088,1,0.5088
2023-10-05,Thursday,2023-10-08,<60,0,0,0,0
2023-10-05,Thursday,2023-10-08,60-69,0,0,0,0
2023-10-05,Thursday,2023-10-08,70-79,0,0,0.4286,0.1139
2023-10-05,Thursday,2023-10-08,80+,1,0.5088,1,0.5088
2023-10-04,Wednesday,2023-10-08,<60,0,0,0,0
2023-10-04,Wednesday,2023-10-08,60-69,0,0,0,0
2023-10-04,Wednesday,2023-10-08,70-79,1,0.2659,0.4286,0.1139
2023-10-04,Wednesday,2023-10-08,80+,1,0.5088,0.8571,0.4362
2023-10-03,Tuesday,2023-10-08,<60,0,0,0,0
2023-10-03,Tuesday,2023-10-08,60-69,0,0,0,0
2023-10-03,Tuesday,2023-10-08,70-79,1,0.2659,0.2857,0.076
2023-10-03,Tuesday,2023-10-08,80+,1,0.5088,0.7143,0.3635
2023-10-02,Monday,2023-10-08,<60,0,0,0,0
2023-10-02,Monday,2023-10-08,60-69,0,0,0,0
2023-10-02,Monday,2023-10-08,70-79,0,0,0.1429,0.038
2023-10-02,Monday,2023-10-08,80+,2,1.0177,0.8571,0.4362
2023-10-01,Sunday,2023-10-01,<60,0,0,0,0
2023-10-01,Sunday,2023-10-01,60-69,0,0,0,0
2023-10-01,Sunday,2023-10-01,70-79,0,0,0.1429,0.038
2023-10-01,Sunday,2023-10-01,80+,1,0.5088,0.7143,0.3635
2023-09-30,Saturday,2023-10-01,<60,0,0,0,0
2023-09-30,Saturday,2023-10-01,60-69,0,0,0,0
2023-09-30,Saturday,2023-10-01,70-79,0,0,0.1429,0.038
2023-09-30,Saturday,2023-10-01,80+,0,0,1,0.5088
2023-09-29,Friday,2023-10-01,<60,0,0,0,0
2023-09-29,Friday,2023-10-01,60-69,0,0,0,0
2023-09-29,Friday,2023-10-01,70-79,1,0.2659,0.1429,0.038
2023-09-29,Friday,2023-10-01,80+,1,0.5088,1.1429,0.5815
2023-09-28,Thursday,2023-10-01,<60,0,0,0,0
2023-09-28,Thursday,2023-10-01,60-69,0,0,0,0
2023-09-28,Thursday,2023-10-01,70-79,0,0,0,0
2023-09-28,Thursday,2023-10-01,80+,0,0,1,0.5088
2023-09-27,Wednesday,2023-10-01,<60,0,0,0,0
2023-09-27,Wednesday,2023-10-01,60-69,0,0,0,0
2023-09-27,Wednesday,2023-10-01,70-79,0,0,0,0
2023-09-27,Wednesday,2023-10-01,80+,0,0,1.1429,0.5815
2023-09-26,Tuesday,2023-10-01,<60,0,0,0,0
2023-09-26,Tuesday,2023-10-01,60-69,0,0,0.1429,0.0254
2023-09-26,Tuesday,2023-10-01,70-79,0,0,0.1429,0.038
2023-09-26,Tuesday,2023-10-01,80+,2,1.0177,1.4286,0.7269
2023-09-25,Monday,2023-10-01,<60,0,0,0,0
2023-09-25,Monday,2023-10-01,60-69,0,0,0.1429,0.0254
2023-09-25,Monday,2023-10-01,70-79,0,0,0.1429,0.038
2023-09-25,Monday,2023-10-01,80+,1,0.5088,1.2857,0.6542
2023-09-24,Sunday,2023-09-24,<60,0,0,0.1429,0.0038
2023-09-24,Sunday,2023-09-24,60-69,0,0,0.1429,0.0254
2023-09-24,Sunday,2023-09-24,70-79,0,0,0.1429,0.038
2023-09-24,Sunday,2023-09-24,80+,3,1.5265,1.1429,0.5815
2023-09-23,Saturday,2023-09-24,<60,0,0,0.1429,0.0038
2023-09-23,Saturday,2023-09-24,60-69,0,0,0.1429,0.0254
2023-09-23,Saturday,2023-09-24,70-79,0,0,0.1429,0.038
2023-09-23,Saturday,2023-09-24,80+,1,0.5088,1.2857,0.6542
2023-09-22,Friday,2023-09-24,<60,0,0,0.1429,0.0038
2023-09-22,Friday,2023-09-24,60-69,0,0,0.2857,0.0509
2023-09-22,Friday,2023-09-24,70-79,0,0,0.1429,0.038
2023-09-22,Friday,2023-09-24,80+,0,0,1.2857,0.6542
2023-09-21,Thursday,2023-09-24,<60,0,0,0.1429,0.0038
2023-09-21,Thursday,2023-09-24,60-69,0,0,0.2857,0.0509
2023-09-21,Thursday,2023-09-24,70-79,0,0,0.2857,0.076
2023-09-21,Thursday,2023-09-24,80+,1,0.5088,1.4286,0.7269
2023-09-20,Wednesday,2023-09-24,<60,0,0,0.1429,0.0038
2023-09-20,Wednesday,2023-09-24,60-69,1,0.1781,0.4286,0.0763
2023-09-20,Wednesday,2023-09-24,70-79,1,0.2659,0.2857,0.076
2023-09-20,Wednesday,2023-09-24,80+,2,1.0177,1.5714,0.7996
2023-09-19,Tuesday,2023-09-24,<60,0,0,0.1429,0.0038
2023-09-19,Tuesday,2023-09-24,60-69,0,0,0.2857,0.0509
2023-09-19,Tuesday,2023-09-24,70-79,0,0,0.2857,0.076
2023-09-19,Tuesday,2023-09-24,80+,1,0.5088,1.5714,0.7996
2023-09-18,Monday,2023-09-24,<60,1,0.0265,0.1429,0.0038
2023-09-18,Monday,2023-09-24,60-69,0,0,0.2857,0.0509
2023-09-18,Monday,2023-09-24,70-79,0,0,0.4286,0.1139
2023-09-18,Monday,2023-09-24,80+,0,0,1.5714,0.7996
2023-09-17,Sunday,2023-09-17,<60,0,0,0,0
2023-09-17,Sunday,2023-09-17,60-69,0,0,0.2857,0.0509
2023-09-17,Sunday,2023-09-17,70-79,0,0,0.5714,0.1519
2023-09-17,Sunday,2023-09-17,80+,4,2.0354,2.1429,1.0904
2023-09-16,Saturday,2023-09-17,<60,0,0,0,0
2023-09-16,Saturday,2023-09-17,60-69,1,0.1781,0.2857,0.0509
2023-09-16,Saturday,2023-09-17,70-79,0,0,0.5714,0.1519
2023-09-16,Saturday,2023-09-17,80+,1,0.5088,2,1.0177
2023-09-15,Friday,2023-09-17,<60,0,0,0,0
2023-09-15,Friday,2023-09-17,60-69,0,0,0.2857,0.0509
2023-09-15,Friday,2023-09-17,70-79,1,0.2659,0.7143,0.1899
2023-09-15,Friday,2023-09-17,80+,1,0.5088,2.1429,1.0904
2023-09-14,Thursday,2023-09-17,<60,0,0,0,0
2023-09-14,Thursday,2023-09-17,60-69,1,0.1781,0.2857,0.0509
2023-09-14,Thursday,2023-09-17,70-79,0,0,0.5714,0.1519
2023-09-14,Thursday,2023-09-17,80+,2,1.0177,2,1.0177
2023-09-13,Wednesday,2023-09-17,<60,0,0,0,0
2023-09-13,Wednesday,2023-09-17,60-69,0,0,0.1429,0.0254
2023-09-13,Wednesday,2023-09-17,70-79,1,0.2659,0.7143,0.1899
2023-09-13,Wednesday,2023-09-17,80+,2,1.0177,1.8571,0.945
2023-09-12,Tuesday,2023-09-17,<60,0,0,0,0
2023-09-12,Tuesday,2023-09-17,60-69,0,0,0.2857,0.0509
2023-09-12,Tuesday,2023-09-17,70-79,1,0.2659,0.5714,0.1519
2023-09-12,Tuesday,2023-09-17,80+,1,0.5088,1.7143,0.8723
2023-09-11,Monday,2023-09-17,<60,0,0,0,0
2023-09-11,Monday,2023-09-17,60-69,0,0,0.2857,0.0509
2023-09-11,Monday,2023-09-17,70-79,1,0.2659,0.4286,0.1139
2023-09-11,Monday,2023-09-17,80+,4,2.0354,1.8571,0.945
2023-09-10,Sunday,2023-09-10,<60,0,0,0,0
2023-09-10,Sunday,2023-09-10,60-69,0,0,0.2857,0.0509
2023-09-10,Sunday,2023-09-10,70-79,0,0,0.2857,0.076
2023-09-10,Sunday,2023-09-10,80+,3,1.5265,1.4286,0.7269
2023-09-09,Saturday,2023-09-10,<60,0,0,0.1429,0.0038
2023-09-09,Saturday,2023-09-10,60-69,1,0.1781,0.2857,0.0509
2023-09-09,Saturday,2023-09-10,70-79,1,0.2659,0.2857,0.076
2023-09-09,Saturday,2023-09-10,80+,2,1.0177,1.1429,0.5815
2023-09-08,Friday,2023-09-10,<60,0,0,0.1429,0.0038
2023-09-08,Friday,2023-09-10,60-69,0,0,0.1429,0.0254
2023-09-08,Friday,2023-09-10,70-79,0,0,0.1429,0.038
2023-09-08,Friday,2023-09-10,80+,0,0,1,0.5088
2023-09-07,Thursday,2023-09-10,<60,0,0,0.1429,0.0038
2023-09-07,Thursday,2023-09-10,60-69,0,0,0.1429,0.0254
2023-09-07,Thursday,2023-09-10,70-79,1,0.2659,0.1429,0.038
2023-09-07,Thursday,2023-09-10,80+,1,0.5088,1.1429,0.5815
2023-09-06,Wednesday,2023-09-10,<60,0,0,0.1429,0.0038
2023-09-06,Wednesday,2023-09-10,60-69,1,0.1781,0.2857,0.0509
2023-09-06,Wednesday,2023-09-10,70-79,0,0,0,0
2023-09-06,Wednesday,2023-09-10,80+,1,0.5088,1.4286,0.7269
2023-09-05,Tuesday,2023-09-10,<60,0,0,0.1429,0.0038
2023-09-05,Tuesday,2023-09-10,60-69,0,0,0.1429,0.0254
2023-09-05,Tuesday,2023-09-10,70-79,0,0,0,0
2023-09-05,Tuesday,2023-09-10,80+,2,1.0177,1.2857,0.6542
2023-09-04,Monday,2023-09-10,<60,0,0,0.1429,0.0038
2023-09-04,Monday,2023-09-10,60-69,0,0,0.1429,0.0254
2023-09-04,Monday,2023-09-10,70-79,0,0,0.1429,0.038
2023-09-04,Monday,2023-09-10,80+,1,0.5088,1,0.5088
2023-09-03,Sunday,2023-09-03,<60,1,0.0265,0.1429,0.0038
2023-09-03,Sunday,2023-09-03,60-69,0,0,0.1429,0.0254
2023-09-03,Sunday,2023-09-03,70-79,0,0,0.1429,0.038
2023-09-03,Sunday,2023-09-03,80+,1,0.5088,1,0.5088
2023-09-02,Saturday,2023-09-03,<60,0,0,0,0
2023-09-02,Saturday,2023-09-03,60-69,0,0,0.1429,0.0254
2023-09-02,Saturday,2023-09-03,70-79,0,0,0.1429,0.038
2023-09-02,Saturday,2023-09-03,80+,1,0.5088,0.8571,0.4362
2023-09-01,Friday,2023-09-03,<60,0,0,0,0
2023-09-01,Friday,2023-09-03,60-69,0,0,0.1429,0.0254
2023-09-01,Friday,2023-09-03,70-79,0,0,0.1429,0.038
2023-09-01,Friday,2023-09-03,80+,1,0.5088,0.7143,0.3635
2023-08-31,Thursday,2023-09-03,<60,0,0,0,0
2023-08-31,Thursday,2023-09-03,60-69,1,0.1781,0.1429,0.0254
2023-08-31,Thursday,2023-09-03,70-79,0,0,0.2857,0.076
2023-08-31,Thursday,2023-09-03,80+,3,1.5265,0.8571,0.4362
2023-08-30,Wednesday,2023-09-03,<60,0,0,0,0
2023-08-30,Wednesday,2023-09-03,60-69,0,0,0.1429,0.0254
2023-08-30,Wednesday,2023-09-03,70-79,0,0,0.4286,0.1139
2023-08-30,Wednesday,2023-09-03,80+,0,0,0.7143,0.3635
2023-08-29,Tuesday,2023-09-03,<60,0,0,0,0
2023-08-29,Tuesday,2023-09-03,60-69,0,0,0.1429,0.0254
2023-08-29,Tuesday,2023-09-03,70-79,1,0.2659,0.4286,0.1139
2023-08-29,Tuesday,2023-09-03,80+,0,0,0.7143,0.3635
2023-08-28,Monday,2023-09-03,<60,0,0,0,0
2023-08-28,Monday,2023-09-03,60-69,0,0,0.1429,0.0254
2023-08-28,Monday,2023-09-03,70-79,0,0,0.4286,0.1139
2023-08-28,Monday,2023-09-03,80+,1,0.5088,0.8571,0.4362
2023-08-27,Sunday,2023-08-27,<60,0,0,0,0
2023-08-27,Sunday,2023-08-27,60-69,0,0,0.2857,0.0509
2023-08-27,Sunday,2023-08-27,70-79,0,0,0.7143,0.1899
2023-08-27,Sunday,2023-08-27,80+,0,0,0.7143,0.3635
2023-08-26,Saturday,2023-08-27,<60,0,0,0,0
2023-08-26,Saturday,2023-08-27,60-69,0,0,0.2857,0.0509
2023-08-26,Saturday,2023-08-27,70-79,0,0,0.7143,0.1899
2023-08-26,Saturday,2023-08-27,80+,0,0,0.7143,0.3635
2023-08-25,Friday,2023-08-27,<60,0,0,0,0
2023-08-25,Friday,2023-08-27,60-69,0,0,0.2857,0.0509
2023-08-25,Friday,2023-08-27,70-79,1,0.2659,1,0.2659
2023-08-25,Friday,2023-08-27,80+,2,1.0177,0.8571,0.4362
2023-08-24,Thursday,2023-08-27,<60,0,0,0,0
2023-08-24,Thursday,2023-08-27,60-69,1,0.1781,0.4286,0.0763
2023-08-24,Thursday,2023-08-27,70-79,1,0.2659,0.8571,0.2279
2023-08-24,Thursday,2023-08-27,80+,2,1.0177,0.5714,0.2908
2023-08-23,Wednesday,2023-08-27,<60,0,0,0,0
2023-08-23,Wednesday,2023-08-27,60-69,0,0,0.2857,0.0509
2023-08-23,Wednesday,2023-08-27,70-79,0,0,0.7143,0.1899
2023-08-23,Wednesday,2023-08-27,80+,0,0,0.5714,0.2908
2023-08-22,Tuesday,2023-08-27,<60,0,0,0,0
2023-08-22,Tuesday,2023-08-27,60-69,0,0,0.2857,0.0509
2023-08-22,Tuesday,2023-08-27,70-79,1,0.2659,0.7143,0.1899
2023-08-22,Tuesday,2023-08-27,80+,1,0.5088,0.5714,0.2908
2023-08-21,Monday,2023-08-27,<60,0,0,0.1429,0.0038
2023-08-21,Monday,2023-08-27,60-69,1,0.1781,0.2857,0.0509
2023-08-21,Monday,2023-08-27,70-79,2,0.5317,0.5714,0.1519
2023-08-21,Monday,2023-08-27,80+,0,0,0.4286,0.2181
2023-08-20,Sunday,2023-08-20,<60,0,0,0.1429,0.0038
2023-08-20,Sunday,2023-08-20,60-69,0,0,0.1429,0.0254
2023-08-20,Sunday,2023-08-20,70-79,0,0,0.2857,0.076
2023-08-20,Sunday,2023-08-20,80+,0,0,0.7143,0.3635
2023-08-19,Saturday,2023-08-20,<60,0,0,0.1429,0.0038
2023-08-19,Saturday,2023-08-20,60-69,0,0,0.1429,0.0254
2023-08-19,Saturday,2023-08-20,70-79,2,0.5317,0.2857,0.076
2023-08-19,Saturday,2023-08-20,80+,1,0.5088,1.2857,0.6542
2023-08-18,Friday,2023-08-20,<60,0,0,0.1429,0.0038
2023-08-18,Friday,2023-08-20,60-69,1,0.1781,0.1429,0.0254
2023-08-18,Friday,2023-08-20,70-79,0,0,0,0
2023-08-18,Friday,2023-08-20,80+,0,0,1.2857,0.6542
2023-08-17,Thursday,2023-08-20,<60,0,0,0.1429,0.0038
2023-08-17,Thursday,2023-08-20,60-69,0,0,0.1429,0.0254
2023-08-17,Thursday,2023-08-20,70-79,0,0,0,0
2023-08-17,Thursday,2023-08-20,80+,2,1.0177,1.4286,0.7269
2023-08-16,Wednesday,2023-08-20,<60,0,0,0.1429,0.0038
2023-08-16,Wednesday,2023-08-20,60-69,0,0,0.1429,0.0254
2023-08-16,Wednesday,2023-08-20,70-79,0,0,0.1429,0.038
2023-08-16,Wednesday,2023-08-20,80+,0,0,1.2857,0.6542
2023-08-15,Tuesday,2023-08-20,<60,1,0.0265,0.1429,0.0038
2023-08-15,Tuesday,2023-08-20,60-69,0,0,0.1429,0.0254
2023-08-15,Tuesday,2023-08-20,70-79,0,0,0.1429,0.038
2023-08-15,Tuesday,2023-08-20,80+,0,0,1.5714,0.7996
2023-08-14,Monday,2023-08-20,<60,0,0,0,0
2023-08-14,Monday,2023-08-20,60-69,0,0,0.1429,0.0254
2023-08-14,Monday,2023-08-20,70-79,0,0,0.1429,0.038
2023-08-14,Monday,2023-08-20,80+,2,1.0177,1.8571,0.945
2023-08-13,Sunday,2023-08-13,<60,0,0,0,0
2023-08-13,Sunday,2023-08-13,60-69,0,0,0.1429,0.0254
2023-08-13,Sunday,2023-08-13,70-79,0,0,0.5714,0.1519
2023-08-13,Sunday,2023-08-13,80+,4,2.0354,1.5714,0.7996
2023-08-12,Saturday,2023-08-13,<60,0,0,0,0
2023-08-12,Saturday,2023-08-13,60-69,0,0,0.1429,0.0254
2023-08-12,Saturday,2023-08-13,70-79,0,0,0.5714,0.1519
2023-08-12,Saturday,2023-08-13,80+,1,0.5088,1,0.5088
2023-08-11,Friday,2023-08-13,<60,0,0,0.1429,0.0038
2023-08-11,Friday,2023-08-13,60-69,1,0.1781,0.1429,0.0254
2023-08-11,Friday,2023-08-13,70-79,0,0,0.5714,0.1519
2023-08-11,Friday,2023-08-13,80+,1,0.5088,1.1429,0.5815
2023-08-10,Thursday,2023-08-13,<60,0,0,0.1429,0.0038
2023-08-10,Thursday,2023-08-13,60-69,0,0,0,0
2023-08-10,Thursday,2023-08-13,70-79,1,0.2659,0.5714,0.1519
2023-08-10,Thursday,2023-08-13,80+,1,0.5088,1.2857,0.6542
2023-08-09,Wednesday,2023-08-13,<60,0,0,0.1429,0.0038
2023-08-09,Wednesday,2023-08-13,60-69,0,0,0.1429,0.0254
2023-08-09,Wednesday,2023-08-13,70-79,0,0,0.4286,0.1139
2023-08-09,Wednesday,2023-08-13,80+,2,1.0177,1.4286,0.7269
2023-08-08,Tuesday,2023-08-13,<60,0,0,0.1429,0.0038
2023-08-08,Tuesday,2023-08-13,60-69,0,0,0.1429,0.0254
2023-08-08,Tuesday,2023-08-13,70-79,0,0,0.5714,0.1519
2023-08-08,Tuesday,2023-08-13,80+,2,1.0177,1.1429,0.5815
2023-08-07,Monday,2023-08-13,<60,0,0,0.1429,0.0038
2023-08-07,Monday,2023-08-13,60-69,0,0,0.1429,0.0254
2023-08-07,Monday,2023-08-13,70-79,3,0.7976,0.5714,0.1519
2023-08-07,Monday,2023-08-13,80+,0,0,0.8571,0.4362
2023-08-06,Sunday,2023-08-06,<60,0,0,0.1429,0.0038
2023-08-06,Sunday,2023-08-06,60-69,0,0,0.1429,0.0254
2023-08-06,Sunday,2023-08-06,70-79,0,0,0.1429,0.038
2023-08-06,Sunday,2023-08-06,80+,0,0,0.8571,0.4362
2023-08-05,Saturday,2023-08-06,<60,1,0.0265,0.1429,0.0038
2023-08-05,Saturday,2023-08-06,60-69,0,0,0.1429,0.0254
2023-08-05,Saturday,2023-08-06,70-79,0,0,0.1429,0.038
2023-08-05,Saturday,2023-08-06,80+,2,1.0177,1,0.5088
2023-08-04,Friday,2023-08-06,<60,0,0,0,0
2023-08-04,Friday,2023-08-06,60-69,0,0,0.1429,0.0254
2023-08-04,Friday,2023-08-06,70-79,0,0,0.1429,0.038
2023-08-04,Friday,2023-08-06,80+,2,1.0177,0.7143,0.3635
2023-08-03,Thursday,2023-08-06,<60,0,0,0,0
2023-08-03,Thursday,2023-08-06,60-69,1,0.1781,0.1429,0.0254
2023-08-03,Thursday,2023-08-06,70-79,0,0,0.1429,0.038
2023-08-03,Thursday,2023-08-06,80+,2,1.0177,0.5714,0.2908
2023-08-02,Wednesday,2023-08-06,<60,0,0,0,0
2023-08-02,Wednesday,2023-08-06,60-69,0,0,0,0
2023-08-02,Wednesday,2023-08-06,70-79,1,0.2659,0.1429,0.038
2023-08-02,Wednesday,2023-08-06,80+,0,0,0.8571,0.4362
2023-08-01,Tuesday,2023-08-06,<60,0,0,0,0
2023-08-01,Tuesday,2023-08-06,60-69,0,0,0,0
2023-08-01,Tuesday,2023-08-06,70-79,0,0,0,0
2023-08-01,Tuesday,2023-08-06,80+,0,0,1,0.5088
2023-07-31,Monday,2023-08-06,<60,0,0,0,0
2023-07-31,Monday,2023-08-06,60-69,0,0,0,0
2023-07-31,Monday,2023-08-06,70-79,0,0,0,0
2023-07-31,Monday,2023-08-06,80+,0,0,1,0.5088
2023-07-30,Sunday,2023-07-30,<60,0,0,0,0
2023-07-30,Sunday,2023-07-30,60-69,0,0,0,0
2023-07-30,Sunday,2023-07-30,70-79,0,0,0,0
2023-07-30,Sunday,2023-07-30,80+,1,0.5088,1.2857,0.6542
2023-07-29,Saturday,2023-07-30,<60,0,0,0,0
2023-07-29,Saturday,2023-07-30,60-69,0,0,0,0
2023-07-29,Saturday,2023-07-30,70-79,0,0,0,0
2023-07-29,Saturday,2023-07-30,80+,0,0,1.2857,0.6542
2023-07-28,Friday,2023-07-30,<60,0,0,0,0
2023-07-28,Friday,2023-07-30,60-69,0,0,0,0
2023-07-28,Friday,2023-07-30,70-79,0,0,0.1429,0.038
