year,sex,rounding,cnt,sim_lab
2010,male,n_rr3_43,14445,rounded
2010,male,n_rr3_44,14301,rounded
2010,male,n_rr3_45,14190,rounded
2010,male,n_rr3_46,14223,rounded
2010,male,n_rr3_47,14325,rounded
2010,male,n_rr3_48,14310,rounded
2010,male,n_rr3_49,14193,rounded
2010,male,n_rr3_5,14322,rounded
2010,male,n_rr3_50,14328,rounded
2010,male,n_rr3_51,14268,rounded
2010,male,n_rr3_52,14286,rounded
2010,male,n_rr3_53,14316,rounded
2010,male,n_rr3_54,14211,rounded
2010,male,n_rr3_55,14205,rounded
2010,male,n_rr3_56,14259,rounded
2010,male,n_rr3_57,14217,rounded
2010,male,n_rr3_58,14322,rounded
2010,male,n_rr3_59,14280,rounded
2010,male,n_rr3_6,14283,rounded
2010,male,n_rr3_60,14181,rounded
2010,male,n_rr3_61,14226,rounded
2010,male,n_rr3_62,14232,rounded
2010,male,n_rr3_63,14289,rounded
2010,male,n_rr3_64,14322,rounded
2010,male,n_rr3_65,14286,rounded
2010,male,n_rr3_66,14139,rounded
2010,male,n_rr3_67,14292,rounded
2010,male,n_rr3_68,14325,rounded
2010,male,n_rr3_69,14226,rounded
2010,male,n_rr3_7,14238,rounded
2010,male,n_rr3_70,14355,rounded
2010,male,n_rr3_71,14262,rounded
2010,male,n_rr3_72,14256,rounded
2010,male,n_rr3_73,14187,rounded
2010,male,n_rr3_74,14322,rounded
2010,male,n_rr3_75,14196,rounded
2010,male,n_rr3_76,14274,rounded
2010,male,n_rr3_77,14289,rounded
2010,male,n_rr3_78,14202,rounded
2010,male,n_rr3_79,14244,rounded
2010,male,n_rr3_8,14292,rounded
2010,male,n_rr3_80,14271,rounded
2010,male,n_rr3_81,14349,rounded
2010,male,n_rr3_82,14322,rounded
2010,male,n_rr3_83,14214,rounded
2010,male,n_rr3_84,14262,rounded
2010,male,n_rr3_85,14325,rounded
2010,male,n_rr3_86,14229,rounded
2010,male,n_rr3_87,14397,rounded
2010,male,n_rr3_88,14289,rounded
2010,male,n_rr3_89,14106,rounded
2010,male,n_rr3_9,14139,rounded
2010,male,n_rr3_90,14301,rounded
2010,male,n_rr3_91,14295,rounded
2010,male,n_rr3_92,14259,rounded
2010,male,n_rr3_93,14199,rounded
2010,male,n_rr3_94,14172,rounded
2010,male,n_rr3_95,14274,rounded
2010,male,n_rr3_96,14244,rounded
2010,male,n_rr3_97,14250,rounded
2010,male,n_rr3_98,14274,rounded
2010,male,n_rr3_99,14343,rounded
2010,male,raw_cnt,14260,unrounded
2011,female,n_rr3_1,15291,rounded
2011,female,n_rr3_10,15225,rounded
2011,female,n_rr3_100,15354,rounded
2011,female,n_rr3_11,15273,rounded
2011,female,n_rr3_12,15297,rounded
2011,female,n_rr3_13,15252,rounded
2011,female,n_rr3_14,15330,rounded
2011,female,n_rr3_15,15207,rounded
2011,female,n_rr3_16,15276,rounded
2011,female,n_rr3_17,15378,rounded
2011,female,n_rr3_18,15300,rounded
2011,female,n_rr3_19,15300,rounded
2011,female,n_rr3_2,15372,rounded
2011,female,n_rr3_20,15285,rounded
2011,female,n_rr3_21,15282,rounded
2011,female,n_rr3_22,15240,rounded
2011,female,n_rr3_23,15282,rounded
2011,female,n_rr3_24,15303,rounded
2011,female,n_rr3_25,15207,rounded
2011,female,n_rr3_26,15258,rounded
2011,female,n_rr3_27,15345,rounded
2011,female,n_rr3_28,15315,rounded
2011,female,n_rr3_29,15339,rounded
2011,female,n_rr3_3,15165,rounded
2011,female,n_rr3_30,15234,rounded
2011,female,n_rr3_31,15228,rounded
2011,female,n_rr3_32,15192,rounded
2011,female,n_rr3_33,15255,rounded
2011,female,n_rr3_34,15288,rounded
2011,female,n_rr3_35,15258,rounded
2011,female,n_rr3_36,15312,rounded
2011,female,n_rr3_37,15234,rounded
2011,female,n_rr3_38,15273,rounded
2011,female,n_rr3_39,15357,rounded
2011,female,n_rr3_4,15285,rounded
2011,female,n_rr3_40,15345,rounded
2011,female,n_rr3_41,15282,rounded
2011,female,n_rr3_42,15231,rounded
2011,female,n_rr3_43,15300,rounded
2011,female,n_rr3_44,15201,rounded
2011,female,n_rr3_45,15297,rounded
2011,female,n_rr3_46,15282,rounded
2011,female,n_rr3_47,15282,rounded
2011,female,n_rr3_48,15369,rounded
2011,female,n_rr3_49,15243,rounded
2011,female,n_rr3_5,15339,rounded
2011,female,n_rr3_50,15246,rounded
2011,female,n_rr3_51,15309,rounded
2011,female,n_rr3_52,15273,rounded
2011,female,n_rr3_53,15312,rounded
2011,female,n_rr3_54,15213,rounded
2011,female,n_rr3_55,15246,rounded
2011,female,n_rr3_56,15252,rounded
2011,female,n_rr3_57,15255,rounded
2011,female,n_rr3_58,15324,rounded
2011,female,n_rr3_59,15297,rounded
2011,female,n_rr3_6,15210,rounded
2011,female,n_rr3_60,15351,rounded
2011,female,n_rr3_61,15261,rounded
2011,female,n_rr3_62,15297,rounded
2011,female,n_rr3_63,15165,rounded
2011,female,n_rr3_64,15222,rounded
2011,female,n_rr3_65,15288,rounded
2011,female,n_rr3_66,15243,rounded
2011,female,n_rr3_67,15384,rounded
2011,female,n_rr3_68,15372,rounded
2011,female,n_rr3_69,15267,rounded
2011,female,n_rr3_7,15360,rounded
2011,female,n_rr3_70,15192,rounded
2011,female,n_rr3_71,15282,rounded
2011,female,n_rr3_72,15318,rounded
2011,female,n_rr3_73,15165,rounded
2011,female,n_rr3_74,15315,rounded
2011,female,n_rr3_75,15291,rounded
2011,female,n_rr3_76,15291,rounded
2011,female,n_rr3_77,15348,rounded
2011,female,n_rr3_78,15372,rounded
2011,female,n_rr3_79,15159,rounded
2011,female,n_rr3_8,15354,rounded
2011,female,n_rr3_80,15333,rounded
2011,female,n_rr3_81,15390,rounded
2011,female,n_rr3_82,15219,rounded
2011,female,n_rr3_83,15249,rounded
2011,female,n_rr3_84,15297,rounded
2011,female,n_rr3_85,15207,rounded
2011,female,n_rr3_86,15306,rounded
2011,female,n_rr3_87,15240,rounded
2011,female,n_rr3_88,15291,rounded
2011,female,n_rr3_89,15321,rounded
2011,female,n_rr3_9,15213,rounded
2011,female,n_rr3_90,15321,rounded
2011,female,n_rr3_91,15264,rounded
2011,female,n_rr3_92,15279,rounded
2011,female,n_rr3_93,15315,rounded
2011,female,n_rr3_94,15204,rounded
2011,female,n_rr3_95,15243,rounded
2011,female,n_rr3_96,15276,rounded
2011,female,n_rr3_97,15207,rounded
2011,female,n_rr3_98,15303,rounded
2011,female,n_rr3_99,15246,rounded
2011,female,raw_cnt,15278,unrounded
2011,male,n_rr3_1,14826,rounded
2011,male,n_rr3_10,14982,rounded
2011,male,n_rr3_100,14847,rounded
2011,male,n_rr3_11,15018,rounded
2011,male,n_rr3_12,14895,rounded
2011,male,n_rr3_13,14931,rounded
2011,male,n_rr3_14,14856,rounded
2011,male,n_rr3_15,14871,rounded
2011,male,n_rr3_16,14919,rounded
2011,male,n_rr3_17,14958,rounded
2011,male,n_rr3_18,14937,rounded
2011,male,n_rr3_19,14874,rounded
2011,male,n_rr3_2,14970,rounded
2011,male,n_rr3_20,14859,rounded
2011,male,n_rr3_21,14958,rounded
2011,male,n_rr3_22,14844,rounded
2011,male,n_rr3_23,14958,rounded
2011,male,n_rr3_24,14838,rounded
2011,male,n_rr3_25,14844,rounded
2011,male,n_rr3_26,14901,rounded
2011,male,n_rr3_27,14757,rounded
2011,male,n_rr3_28,14811,rounded
2011,male,n_rr3_29,14859,rounded
2011,male,n_rr3_3,14907,rounded
2011,male,n_rr3_30,14826,rounded
2011,male,n_rr3_31,14925,rounded
2011,male,n_rr3_32,14910,rounded
2011,male,n_rr3_33,14781,rounded
2011,male,n_rr3_34,14973,rounded
2011,male,n_rr3_35,14859,rounded
2011,male,n_rr3_36,14952,rounded
2011,male,n_rr3_37,14781,rounded
2011,male,n_rr3_38,14850,rounded
2011,male,n_rr3_39,14877,rounded
2011,male,n_rr3_4,14880,rounded
2011,male,n_rr3_40,15024,rounded
2011,male,n_rr3_41,15048,rounded
2011,male,n_rr3_42,14823,rounded
2011,male,n_rr3_43,15063,rounded
2011,male,n_rr3_44,14970,rounded
2011,male,n_rr3_45,14946,rounded
2011,male,n_rr3_46,14874,rounded
2011,male,n_rr3_47,14859,rounded
2011,male,n_rr3_48,14892,rounded
2011,male,n_rr3_49,14835,rounded
2011,male,n_rr3_5,15021,rounded
2011,male,n_rr3_50,14853,rounded
2011,male,n_rr3_51,14976,rounded
2011,male,n_rr3_52,14805,rounded
2011,male,n_rr3_53,14790,rounded
2011,male,n_rr3_54,14814,rounded
2011,male,n_rr3_55,14916,rounded
2011,male,n_rr3_56,14808,rounded
2011,male,n_rr3_57,14895,rounded
2011,male,n_rr3_58,14907,rounded
2011,male,n_rr3_59,14805,rounded
2011,male,n_rr3_6,14988,rounded
2011,male,n_rr3_60,14886,rounded
2011,male,n_rr3_61,14967,rounded
2011,male,n_rr3_62,14916,rounded
2011,male,n_rr3_63,14913,rounded
2011,male,n_rr3_64,14877,rounded
2011,male,n_rr3_65,14826,rounded
2011,male,n_rr3_66,14757,rounded
2011,male,n_rr3_67,14889,rounded
2011,male,n_rr3_68,14892,rounded
2011,male,n_rr3_69,14922,rounded
2011,male,n_rr3_7,14958,rounded
2011,male,n_rr3_70,14961,rounded
2011,male,n_rr3_71,14862,rounded
2011,male,n_rr3_72,14808,rounded
2011,male,n_rr3_73,14940,rounded
2011,male,n_rr3_74,14790,rounded
2011,male,n_rr3_75,14955,rounded
2011,male,n_rr3_76,14853,rounded
2011,male,n_rr3_77,14814,rounded
2011,male,n_rr3_78,14856,rounded
2011,male,n_rr3_79,14895,rounded
2011,male,n_rr3_8,14979,rounded
2011,male,n_rr3_80,14946,rounded
2011,male,n_rr3_81,14853,rounded
2011,male,n_rr3_82,14901,rounded
2011,male,n_rr3_83,14826,rounded
2011,male,n_rr3_84,14895,rounded
2011,male,n_rr3_85,14943,rounded
2011,male,n_rr3_86,14745,rounded
2011,male,n_rr3_87,14880,rounded
2011,male,n_rr3_88,14940,rounded
2011,male,n_rr3_89,14973,rounded
2011,male,n_rr3_9,14934,rounded
2011,male,n_rr3_90,14799,rounded
2011,male,n_rr3_91,14838,rounded
2011,male,n_rr3_92,14808,rounded
2011,male,n_rr3_93,14997,rounded
2011,male,n_rr3_94,14907,rounded
2011,male,n_rr3_95,14970,rounded
2011,male,n_rr3_96,14895,rounded
2011,male,n_rr3_97,14829,rounded
2011,male,n_rr3_98,14907,rounded
2011,male,n_rr3_99,15018,rounded
2011,male,raw_cnt,14889,unrounded
2012,female,n_rr3_1,14994,rounded
2012,female,n_rr3_10,14964,rounded
2012,female,n_rr3_100,15027,rounded
2012,female,n_rr3_11,15054,rounded
2012,female,n_rr3_12,15162,rounded
2012,female,n_rr3_13,15000,rounded
2012,female,n_rr3_14,15114,rounded
2012,female,n_rr3_15,15000,rounded
2012,female,n_rr3_16,15078,rounded
2012,female,n_rr3_17,15114,rounded
2012,female,n_rr3_18,15072,rounded
2012,female,n_rr3_19,15009,rounded
2012,female,n_rr3_2,15129,rounded
2012,female,n_rr3_20,15162,rounded
2012,female,n_rr3_21,14988,rounded
2012,female,n_rr3_22,15132,rounded
2012,female,n_rr3_23,15066,rounded
2012,female,n_rr3_24,14955,rounded
2012,female,n_rr3_25,15045,rounded
2012,female,n_rr3_26,15093,rounded
2012,female,n_rr3_27,15048,rounded
2012,female,n_rr3_28,14973,rounded
2012,female,n_rr3_29,14988,rounded
2012,female,n_rr3_3,15045,rounded
2012,female,n_rr3_30,14961,rounded
2012,female,n_rr3_31,15087,rounded
2012,female,n_rr3_32,15069,rounded
2012,female,n_rr3_33,15075,rounded
2012,female,n_rr3_34,15024,rounded
2012,female,n_rr3_35,15039,rounded
2012,female,n_rr3_36,15123,rounded
2012,female,n_rr3_37,15057,rounded
2012,female,n_rr3_38,15003,rounded
2012,female,n_rr3_39,15033,rounded
2012,female,n_rr3_4,14967,rounded
2012,female,n_rr3_40,15012,rounded
2012,female,n_rr3_41,15015,rounded
2012,female,n_rr3_42,15162,rounded
2012,female,n_rr3_43,14994,rounded
2012,female,n_rr3_44,14988,rounded
2012,female,n_rr3_45,15018,rounded
2012,female,n_rr3_46,15090,rounded
2012,female,n_rr3_47,15096,rounded
2012,female,n_rr3_48,15102,rounded
2012,female,n_rr3_49,15042,rounded
2012,female,n_rr3_5,15060,rounded
2012,female,n_rr3_50,15132,rounded
2012,female,n_rr3_51,14970,rounded
2012,female,n_rr3_52,15117,rounded
2012,female,n_rr3_53,15138,rounded
2012,female,n_rr3_54,15015,rounded
2012,female,n_rr3_55,15021,rounded
2012,female,n_rr3_56,15030,rounded
2012,female,n_rr3_57,15054,rounded
2012,female,n_rr3_58,14895,rounded
2012,female,n_rr3_59,15126,rounded
2012,female,n_rr3_6,15009,rounded
2012,female,n_rr3_60,15024,rounded
2012,female,n_rr3_61,15045,rounded
2012,female,n_rr3_62,14976,rounded
2012,female,n_rr3_63,15078,rounded
2012,female,n_rr3_64,15081,rounded
2012,female,n_rr3_65,15063,rounded
2012,female,n_rr3_66,15120,rounded
2012,female,n_rr3_67,15135,rounded
2012,female,n_rr3_68,15048,rounded
2012,female,n_rr3_69,15183,rounded
2012,female,n_rr3_7,14934,rounded
2012,female,n_rr3_70,15030,rounded
2012,female,n_rr3_71,15072,rounded
2012,female,n_rr3_72,14907,rounded
2012,female,n_rr3_73,15060,rounded
2012,female,n_rr3_74,15081,rounded
2012,female,n_rr3_75,15066,rounded
2012,female,n_rr3_76,15072,rounded
2012,female,n_rr3_77,14973,rounded
2012,female,n_rr3_78,15063,rounded
2012,female,n_rr3_79,15243,rounded
2012,female,n_rr3_8,15066,rounded
2012,female,n_rr3_80,15000,rounded
2012,female,n_rr3_81,15063,rounded
2012,female,n_rr3_82,15036,rounded
2012,female,n_rr3_83,15138,rounded
2012,female,n_rr3_84,14994,rounded
2012,female,n_rr3_85,15003,rounded
2012,female,n_rr3_86,15111,rounded
2012,female,n_rr3_87,15096,rounded
2012,female,n_rr3_88,15039,rounded
2012,female,n_rr3_89,15147,rounded
2012,female,n_rr3_9,15042,rounded
2012,female,n_rr3_90,15147,rounded
2012,female,n_rr3_91,15045,rounded
2012,female,n_rr3_92,15051,rounded
2012,female,n_rr3_93,15000,rounded
2012,female,n_rr3_94,15060,rounded
2012,female,n_rr3_95,15081,rounded
2012,female,n_rr3_96,14997,rounded
2012,female,n_rr3_97,15141,rounded
2012,female,n_rr3_98,15114,rounded
2012,female,n_rr3_99,15033,rounded
2012,female,raw_cnt,15060,unrounded
2012,male,n_rr3_1,14970,rounded
2012,male,n_rr3_10,14970,rounded
2012,male,n_rr3_100,15081,rounded
2012,male,n_rr3_11,15159,rounded
2012,male,n_rr3_12,14982,rounded
2012,male,n_rr3_13,14982,rounded
2012,male,n_rr3_14,14958,rounded
2012,male,n_rr3_15,15225,rounded
2012,male,n_rr3_16,15198,rounded
2012,male,n_rr3_17,14985,rounded
2012,male,n_rr3_18,14946,rounded
2012,male,n_rr3_19,15057,rounded
2012,male,n_rr3_2,15123,rounded
2012,male,n_rr3_20,15051,rounded
2012,male,n_rr3_21,15066,rounded
2012,male,n_rr3_22,15096,rounded
2012,male,n_rr3_23,15129,rounded
2012,male,n_rr3_24,15045,rounded
2012,male,n_rr3_25,14952,rounded
2012,male,n_rr3_26,15039,rounded
2012,male,n_rr3_27,15096,rounded
2012,male,n_rr3_28,15051,rounded
2012,male,n_rr3_29,15033,rounded
2012,male,n_rr3_3,14940,rounded
2012,male,n_rr3_30,15144,rounded
2012,male,n_rr3_31,14991,rounded
2012,male,n_rr3_32,15087,rounded
2012,male,n_rr3_33,15132,rounded
2012,male,n_rr3_34,15126,rounded
2012,male,n_rr3_35,15084,rounded
2012,male,n_rr3_36,15087,rounded
2012,male,n_rr3_37,15024,rounded
2012,male,n_rr3_38,15063,rounded
2012,male,n_rr3_39,14931,rounded
2012,male,n_rr3_4,15126,rounded
2012,male,n_rr3_40,15021,rounded
2012,male,n_rr3_41,14910,rounded
2012,male,n_rr3_42,15015,rounded
2012,male,n_rr3_43,15009,rounded
2012,male,n_rr3_44,15078,rounded
2012,male,n_rr3_45,15093,rounded
2012,male,n_rr3_46,15018,rounded
2012,male,n_rr3_47,15039,rounded
2012,male,n_rr3_48,15213,rounded
2012,male,n_rr3_49,15060,rounded
2012,male,n_rr3_5,15030,rounded
2012,male,n_rr3_50,15111,rounded
2012,male,n_rr3_51,15084,rounded
2012,male,n_rr3_52,15024,rounded
2012,male,n_rr3_53,14961,rounded
2012,male,n_rr3_54,15093,rounded
2012,male,n_rr3_55,15126,rounded
2012,male,n_rr3_56,14994,rounded
2012,male,n_rr3_57,15021,rounded
2012,male,n_rr3_58,15054,rounded
2012,male,n_rr3_59,15054,rounded
2012,male,n_rr3_6,14982,rounded
2012,male,n_rr3_60,15057,rounded
2012,male,n_rr3_61,15015,rounded
2012,male,n_rr3_62,15099,rounded
2012,male,n_rr3_63,15129,rounded
2012,male,n_rr3_64,15063,rounded
2012,male,n_rr3_65,15138,rounded
2012,male,n_rr3_66,15021,rounded
2012,male,n_rr3_67,15033,rounded
2012,male,n_rr3_68,15048,rounded
2012,male,n_rr3_69,14928,rounded
2012,male,n_rr3_7,15087,rounded
2012,male,n_rr3_70,14880,rounded
2012,male,n_rr3_71,15105,rounded
2012,male,n_rr3_72,15051,rounded
2012,male,n_rr3_73,14952,rounded
2012,male,n_rr3_74,15138,rounded
2012,male,n_rr3_75,15144,rounded
2012,male,n_rr3_76,15102,rounded
2012,male,n_rr3_77,15072,rounded
2012,male,n_rr3_78,14973,rounded
2012,male,n_rr3_79,14937,rounded
2012,male,n_rr3_8,15015,rounded
2012,male,n_rr3_80,14994,rounded
2012,male,n_rr3_81,14937,rounded
2012,male,n_rr3_82,15027,rounded
2012,male,n_rr3_83,15042,rounded
2012,male,n_rr3_84,15000,rounded
2012,male,n_rr3_85,15099,rounded
2012,male,n_rr3_86,14994,rounded
2012,male,n_rr3_87,15021,rounded
2012,male,n_rr3_88,15039,rounded
2012,male,n_rr3_89,14934,rounded
2012,male,n_rr3_9,15009,rounded
2012,male,n_rr3_90,15036,rounded
2012,male,n_rr3_91,15072,rounded
2012,male,n_rr3_92,15000,rounded
2012,male,n_rr3_93,15033,rounded
2012,male,n_rr3_94,14994,rounded
2012,male,n_rr3_95,15006,rounded
2012,male,n_rr3_96,14964,rounded
2012,male,n_rr3_97,14997,rounded
2012,male,n_rr3_98,15036,rounded
2012,male,n_rr3_99,15024,rounded
2012,male,raw_cnt,15039,unrounded
2013,female,n_rr3_1,14598,rounded
2013,female,n_rr3_10,14529,rounded
2013,female,n_rr3_100,14433,rounded
2013,female,n_rr3_11,14631,rounded
2013,female,n_rr3_12,14574,rounded
2013,female,n_rr3_13,14541,rounded
2013,female,n_rr3_14,14595,rounded
2013,female,n_rr3_15,14580,rounded
2013,female,n_rr3_16,14574,rounded
2013,female,n_rr3_17,14442,rounded
2013,female,n_rr3_18,14676,rounded
2013,female,n_rr3_19,14493,rounded
2013,female,n_rr3_2,14607,rounded
2013,female,n_rr3_20,14664,rounded
2013,female,n_rr3_21,14637,rounded
2013,female,n_rr3_22,14538,rounded
2013,female,n_rr3_23,14628,rounded
2013,female,n_rr3_24,14589,rounded
2013,female,n_rr3_25,14499,rounded
2013,female,n_rr3_26,14514,rounded
2013,female,n_rr3_27,14655,rounded
2013,female,n_rr3_28,14547,rounded
2013,female,n_rr3_29,14703,rounded
2013,female,n_rr3_3,14457,rounded
2013,female,n_rr3_30,14628,rounded
2013,female,n_rr3_31,14565,rounded
2013,female,n_rr3_32,14574,rounded
2013,female,n_rr3_33,14520,rounded
2013,female,n_rr3_34,14589,rounded
2013,female,n_rr3_35,14643,rounded
2013,female,n_rr3_36,14661,rounded
